pot.label,census,rep,native.species,brome.treatment,water.treatment,5.wk.percent.cover,10.wk.percent.cover,leaf.count,invasive.plant.height ,native.plant.height ,final.native.aboveground.biomass,final.brome.aboveground.biomass,soil.moisture
1,3,1,Plantago insularis,10,80,35,60,0,30,13,0.1952,0.2518,10
2,3,2,Plantago insularis,10,80,60,85,0,27.2,10.5,0.1913,0.3329,14.2
3,3,3,Plantago insularis,10,80,30,50,0,29.5,12.5,0.2955,0.3542,14.3
4,3,4,Plantago insularis,10,80,40,60,0,26.5,10.3,0.3008,0.2413,15.4
5,3,5,Plantago insularis,10,80,50,40,0,28.2,10.5,0.352,0.345,9.9
6,3,6,Plantago insularis,10,80,45,65,0,28,15,0.2314,0.4493,12.5
7,3,7,Plantago insularis,10,80,30,45,0,25.4,15.5,0.277,0.122,12.3
8,3,8,Plantago insularis,10,80,35,55,0,26.5,13.9,0.1581,0.2487,13
9,3,9,Plantago insularis,10,80,50,50,0,24.5,12,0.1697,0.3677,10.3
10,3,10,Plantago insularis,10,80,10,25,0,30.7,15.4,0.1601,0.0645,13
11,3,1,Plantago insularis,10,150,50,50,0,26.5,14.5,0.2041,0.3118,13.5
12,3,2,Plantago insularis,10,150,35,40,0,26.3,11.5,0.3001,0.2087,10.8
13,3,3,Plantago insularis,10,150,45,50,0,22,13.3,0.3471,0.1796,13.3
14,3,4,Plantago insularis,10,150,60,55,0,23.5,9.9,0.249,0.2783,14.2
15,3,5,Plantago insularis,10,150,80,70,0,22.6,13.7,0.3401,0.3932,14.2
16,3,6,Plantago insularis,10,150,60,75,0,30.2,15.7,0.6422,0.6158,18.4
17,3,7,Plantago insularis,10,150,55,70,0,32.6,16.3,0.1916,0.424,15.6
18,3,8,Plantago insularis,10,150,50,80,0,28.6,15.7,0.547,0.7105,15.1
19,3,9,Plantago insularis,10,150,50,60,0,30.4,18,0.3866,0.2481,10
20,3,10,Plantago insularis,10,150,70,80,0,28,12.6,0.3907,0.2842,8.8
21,3,1,Plantago insularis,10,200,50,80,0,34.6,20.7,0.6521,0.257,19.7
22,3,2,Plantago insularis,10,200,55,65,0,29,13.7,0.4536,0.267,23.3
23,3,3,Plantago insularis,10,200,50,60,0,33.6,15,0.3876,0.4748,17.7
24,3,4,Plantago insularis,10,200,55,60,0,32.5,15.5,0.4019,0.6926,21.6
25,3,5,Plantago insularis,10,200,55,75,0,32.7,15.7,0.3067,0.4964,18.6
26,3,6,Plantago insularis,10,200,60,70,0,28,13.7,0.5328,0.1923,25.1
27,3,7,Plantago insularis,10,200,80,80,0,25.3,14.5,0.4215,0.5049,16.8
28,3,8,Plantago insularis,10,200,80,80,0,32.4,14,0.4258,0.6784,19.1
29,3,9,Plantago insularis,10,200,35,60,0,30.1,15.8,0.3889,1.3476,17
30,3,10,Plantago insularis,10,200,40,60,0,21.4,14.3,0.4304,0.1345,18.1
31,3,1,Plantago insularis,10,250,60,75,0,24.7,12.4,0.466,0.259,16
32,3,2,Plantago insularis,10,250,60,85,0,32.5,15.6,0.4817,0.6011,17.2
33,3,3,Plantago insularis,10,250,70,70,0,24.5,17.2,0.2895,0.1441,20.6
34,3,4,Plantago insularis,10,250,60,80,0,34.5,15.1,0.4332,0.9097,19.5
35,3,5,Plantago insularis,10,250,60,70,0,29.5,15.3,0.2554,0.4162,17.1
36,3,6,Plantago insularis,10,250,60,75,0,30.6,12.5,0.5852,0.5556,21.5
37,3,7,Plantago insularis,10,250,50,75,0,40.4,22.7,0.5561,0.5403,19
38,3,8,Plantago insularis,10,250,70,70,0,27.3,14.5,0.3721,0.3748,44.5
39,3,9,Plantago insularis,10,250,70,70,0,28.5,13,0.5146,0.394,19.3
40,3,10,Plantago insularis,10,250,70,85,0,33.5,15.1,0.646,0.6846,19.8
41,3,1,Plantago insularis,10,330,65,70,0,27.7,14.5,0.8961,0.2297,45.9
42,3,2,Plantago insularis,10,330,75,80,0,28.3,18.8,0.7615,0.194,27.9
43,3,3,Plantago insularis,10,330,75,75,0,29.7,16.6,0.4707,0.5565,20.1
44,3,4,Plantago insularis,10,330,70,85,0,29.8,19,1.0068,0.2704,21.7
45,3,5,Plantago insularis,10,330,50,70,0,24.5,11.5,0.6125,0.3004,32.8
46,3,6,Plantago insularis,10,330,55,85,0,26.5,17.8,0.8614,0.224,20.1
47,3,7,Plantago insularis,10,330,65,80,0,31.5,16.5,0.7261,0.5498,29.9
48,3,8,Plantago insularis,10,330,75,85,0,25.5,13,0.6163,0.3869,22.5
49,3,9,Plantago insularis,10,330,65,80,0,33.1,17.1,0.7109,0.3754,18.4
50,3,10,Plantago insularis,10,330,70,85,0,32.7,16.5,0.8513,0.4483,19.5
51,3,1,Plantago insularis,0,80,30,45,0,0,17.7,0.2885,0,12.7
52,3,2,Plantago insularis,0,80,20,30,0,0,13.5,0.1286,0,8.8
53,3,3,Plantago insularis,0,80,30,65,0,0,19.9,0.4927,0,12.8
54,3,4,Plantago insularis,0,80,30,50,0,0,20,0.3696,0,12
55,3,5,Plantago insularis,0,80,20,35,0,0,19.5,0.2031,0,12.4
56,3,6,Plantago insularis,0,80,30,70,0,0,18,0.5133,0,10.6
57,3,7,Plantago insularis,0,80,25,50,0,0,20,0.4311,0,12.2
58,3,8,Plantago insularis,0,80,35,45,0,0,14.9,0.2436,0,14
59,3,9,Plantago insularis,0,80,25,20,0,0,12.4,0.2088,0,12.7
60,3,10,Plantago insularis,0,80,35,40,0,0,20.5,0.3364,0,13.8
61,3,1,Plantago insularis,0,150,20,50,0,0,20.7,0.36,0,16.1
62,3,2,Plantago insularis,0,150,40,50,0,0,14.9,0.704,0,7.4
63,3,3,Plantago insularis,0,150,55,60,0,0,19.1,0.1215,0,19
64,3,4,Plantago insularis,0,150,40,75,0,0,16.7,0.8969,0,13.4
65,3,5,Plantago insularis,0,150,30,50,0,0,22.8,0.4075,0,15
66,3,6,Plantago insularis,0,150,50,80,0,0,23.7,0.6131,0,15.1
67,3,7,Plantago insularis,0,150,65,75,0,0,18.8,0.5504,0,12.9
68,3,8,Plantago insularis,0,150,60,60,0,0,17.8,0.7502,0,14
69,3,9,Plantago insularis,0,150,60,60,0,0,14.8,0.6546,0,11.2
70,3,10,Plantago insularis,0,150,50,50,0,0,17,0.61,0,16.2
71,3,1,Plantago insularis,0,200,50,55,0,0,17.3,0.5299,0,15.7
72,3,2,Plantago insularis,0,200,60,80,0,0,18.8,0.8429,0,27.1
73,3,3,Plantago insularis,0,200,70,85,0,0,21.4,0.4289,0,25.4
74,3,4,Plantago insularis,0,200,35,45,0,0,23,0.3961,0,30.7
75,3,5,Plantago insularis,0,200,50,60,0,0,20,0.9711,0,37.2
76,3,6,Plantago insularis,0,200,50,55,0,0,25.1,0.312,0,33.7
77,3,7,Plantago insularis,0,200,70,80,0,0,24.1,0.9111,0,24.6
78,3,8,Plantago insularis,0,200,45,50,0,0,20.2,0.3592,0,17.6
79,3,9,Plantago insularis,0,200,50,55,0,0,16.3,0.4805,0,36.5
80,3,10,Plantago insularis,0,200,50,75,0,0,24,0.9257,0,19.5
81,3,1,Plantago insularis,0,250,50,65,0,0,19.2,0.401,0,23
82,3,2,Plantago insularis,0,250,45,50,0,0,15.8,0.2119,0,32.9
83,3,3,Plantago insularis,0,250,50,65,0,0,17.5,0.4577,0,23.6
84,3,4,Plantago insularis,0,250,55,80,0,0,20.6,0.4995,0,20.6
85,3,5,Plantago insularis,0,250,65,75,0,0,16.9,0.959,0,22.1
86,3,6,Plantago insularis,0,250,50,70,0,0,22.9,0.5305,0,18.8
87,3,7,Plantago insularis,0,250,70,70,0,0,16.2,0.4838,0,27.8
88,3,8,Plantago insularis,0,250,60,65,0,0,18.2,0.3176,0,36.1
89,3,9,Plantago insularis,0,250,30,55,0,0,18.6,0.3221,0,35.3
90,3,10,Plantago insularis,0,250,55,55,0,0,20.9,0.3521,0,26.1
91,3,1,Plantago insularis,0,330,50,75,0,0,24.2,0.598,0,35
92,3,2,Plantago insularis,0,330,60,85,0,0,25.2,0.7015,0,30.6
93,3,3,Plantago insularis,0,330,50,85,0,0,25.7,0.7115,0,33.2
94,3,4,Plantago insularis,0,330,50,75,0,0,19.1,1.3339,0,22.5
95,3,5,Plantago insularis,0,330,35,75,0,0,24.5,0.964,0,30.7
96,3,6,Plantago insularis,0,330,45,80,0,0,25.6,1.4258,0,25.5
97,3,7,Plantago insularis,0,330,50,75,0,0,23.6,1.5582,0,20.6
98,3,8,Plantago insularis,0,330,55,85,0,0,23.1,0.882,0,28.8
99,3,9,Plantago insularis,0,330,60,80,0,0,26.2,0.8193,0,41.9
100,3,10,Plantago insularis,0,330,50,75,0,0,27.9,0.745,0,24.2
101,3,1,Salvia columbariae,10,80,10,20,0,22.6,0,0,0.4165,10.7
102,3,2,Salvia columbariae,10,80,5,20,0,32,0,0,0.4003,13.3
103,3,3,Salvia columbariae,10,80,15,30,9,29.9,6,0.0081,1.0143,11
104,3,4,Salvia columbariae,10,80,15,30,6,32.5,4,0.0173,0.9324,13.2
105,3,5,Salvia columbariae,10,80,10,45,15,30.1,7.6,0.018,0.3093,13
106,3,6,Salvia columbariae,10,80,25,40,0,33,0,0,0.7212,11.7
107,3,7,Salvia columbariae,10,80,5,20,0,38.2,0,0,1.4098,14.5
108,3,8,Salvia columbariae,10,80,5,15,0,30.4,0,0,0.2201,14.7
109,3,9,Salvia columbariae,10,80,5,25,0,28,0,0,0.2354,13.7
110,3,10,Salvia columbariae,10,80,3,5,0,25.5,0,0,0.1333,8
111,3,1,Salvia columbariae,10,150,10,50,13,39.5,8.5,0.0402,1.943,15.3
112,3,2,Salvia columbariae,10,150,5,25,0,40.5,0,0,1.0367,10.9
113,3,3,Salvia columbariae,10,150,30,40,24,35.5,10.2,0.0573,0.771,16.8
114,3,4,Salvia columbariae,10,150,25,60,28,36.7,7.3,0.065,1.0146,15.2
115,3,5,Salvia columbariae,10,150,15,65,9,38.9,10.5,0.0318,1.4246,16.2
116,3,6,Salvia columbariae,10,150,15,30,0,45.2,0,0,1.6779,14
117,3,7,Salvia columbariae,10,150,25,25,11,25,4.9,0.0301,0.3051,9.8
118,3,8,Salvia columbariae,10,150,15,25,13,30.5,5.3,0.0228,0.3777,9.3
119,3,9,Salvia columbariae,10,150,25,60,20,38.2,8.7,0.0815,1.0693,10.4
120,3,10,Salvia columbariae,10,150,15,35,10,32.1,6.9,0.0332,0.6226,10
121,3,1,Salvia columbariae,10,200,5,15,0,38.6,0,0,0.3268,21.2
122,3,2,Salvia columbariae,10,200,10,45,0,40.1,0,0,0.6778,16
123,3,3,Salvia columbariae,10,200,25,25,6,28.5,2.5,0.0095,0.4055,15.8
124,3,4,Salvia columbariae,10,200,20,60,7,30.4,11.5,0.0358,0.6006,17
125,3,5,Salvia columbariae,10,200,35,55,10,24.1,5,0.084,0.509,24.8
126,3,6,Salvia columbariae,10,200,5,40,0,37,0,0,1.3092,20.7
127,3,7,Salvia columbariae,10,200,15,25,0,27.4,0,0,0.4333,15.2
128,3,8,Salvia columbariae,10,200,20,35,8,46,9.2,0.0165,1.0792,18.5
129,3,9,Salvia columbariae,10,200,10,35,14,39.6,4.6,0.002,0.6925,19.3
130,3,10,Salvia columbariae,10,200,15,45,0,36,0,0,0.9296,21.5
131,3,1,Salvia columbariae,10,250,5,15,0,37.5,0,0,0.2129,37.3
132,3,2,Salvia columbariae,10,250,30,35,5,30,4.6,0.0151,0.5838,18.2
133,3,3,Salvia columbariae,10,250,40,60,14,37.5,8.5,0.0512,1.2165,18.3
134,3,4,Salvia columbariae,10,250,45,75,10,34.5,10.1,0.0545,2.7208,17.8
135,3,5,Salvia columbariae,10,250,20,50,17,37.7,10.2,0.0431,1.5304,16.8
136,3,6,Salvia columbariae,10,250,15,40,36,34,9.3,0.089,0.2173,22
137,3,7,Salvia columbariae,10,250,35,50,12,31.5,9.5,0.0548,1.4988,21
138,3,8,Salvia columbariae,10,250,30,50,15,38.1,9.4,0.0293,0.3815,24.6
139,3,9,Salvia columbariae,10,250,20,30,14,30.6,7.1,0.0627,0.4622,22.7
140,3,10,Salvia columbariae,10,250,20,45,10,34.7,8.3,0.0328,0.3321,20.1
141,3,1,Salvia columbariae,10,330,15,30,0,45.1,0,0,2.8805,20.1
142,3,2,Salvia columbariae,10,330,10,35,13,44.5,11.6,0.0741,1.2894,17.7
143,3,3,Salvia columbariae,10,330,15,25,15,40.7,10,0.0292,1.044,44.5
144,3,4,Salvia columbariae,10,330,15,30,14,25.6,9,0.0323,0.2527,22.9
145,3,5,Salvia columbariae,10,330,45,60,20,35,9.9,0.0935,1.3085,25.4
146,3,6,Salvia columbariae,10,330,5,15,0,37.8,0,0,0.9878,22.1
147,3,7,Salvia columbariae,10,330,35,35,25,22.6,8.6,0.0518,0.2302,28.8
148,3,8,Salvia columbariae,10,330,35,60,7,36.4,7.6,0.0461,0.6918,22.6
149,3,9,Salvia columbariae,10,330,40,75,16,39.8,7.5,0.0601,1.5284,26.4
150,3,10,Salvia columbariae,10,330,45,65,17,32.7,9,0.1041,0.5553,22.7
151,3,1,Salvia columbariae,0,80,0,10,11,0,3.9,0.0146,0,10
152,3,2,Salvia columbariae,0,80,10,40,33,0,13.2,0.0915,0,10.6
153,3,3,Salvia columbariae,0,80,0,2,4,0,3.1,0.0023,0,11.2
154,3,4,Salvia columbariae,0,80,20,40,36,0,14.6,0.2131,0,13.5
155,3,5,Salvia columbariae,0,80,0,0,0,0,0,0,0,15.2
156,3,6,Salvia columbariae,0,80,5,55,28,0,10.1,0.2051,0,13.2
157,3,7,Salvia columbariae,0,80,5,25,15,0,8.1,0.0531,0,10
158,3,8,Salvia columbariae,0,80,5,35,24,0,9.5,0.1034,0,12.6
159,3,9,Salvia columbariae,0,80,0,5,7,0,3.1,0.0015,0,14.6
160,3,10,Salvia columbariae,0,80,15,25,34,0,11.2,0.1633,0,11.3
161,3,1,Salvia columbariae,0,150,0,0,0,0,0,0,0,14.5
162,3,2,Salvia columbariae,0,150,2,10,12,0,14,0.0366,0,20
163,3,3,Salvia columbariae,0,150,5,25,30,0,10.8,0.0862,0,13
164,3,4,Salvia columbariae,0,150,0,0,0,0,0,0,0,20
165,3,5,Salvia columbariae,0,150,0,0,0,0,0,0,0,14.1
166,3,6,Salvia columbariae,0,150,0,0,0,0,0,0,0,13.7
167,3,7,Salvia columbariae,0,150,15,45,32,0,14.4,0.1109,0,21.8
168,3,8,Salvia columbariae,0,150,0,0,0,0,0,0,0,20.2
169,3,9,Salvia columbariae,0,150,5,15,11,0,8.5,0.0201,0,22
170,3,10,Salvia columbariae,0,150,2,0,0,0,0,0,0,20
171,3,1,Salvia columbariae,0,200,0,0,0,0,0,0,0,44.9
172,3,2,Salvia columbariae,0,200,10,35,28,0,11.6,0.132,0,48.3
173,3,3,Salvia columbariae,0,200,10,40,30,0,14.2,0.141,0,37.8
174,3,4,Salvia columbariae,0,200,10,45,29,0,12.4,0.1206,0,42.6
175,3,5,Salvia columbariae,0,200,10,45,32,0,10.1,0.0765,0,41.8
176,3,6,Salvia columbariae,0,200,5,20,13,0,12.6,0.0531,0,50.9
177,3,7,Salvia columbariae,0,200,5,15,13,0,15.2,0.0373,0,39.7
178,3,8,Salvia columbariae,0,200,5,30,16,0,10.6,0.1221,0,39.5
179,3,9,Salvia columbariae,0,200,15,35,25,0,25.5,0.2357,0,51.1
180,3,10,Salvia columbariae,0,200,10,60,37,0,13.6,0.3794,0,25.5
181,3,1,Salvia columbariae,0,250,5,15,12,0,10.6,0.0464,0,55.1
182,3,2,Salvia columbariae,0,250,10,80,32,0,15.8,0.3016,0,26.2
183,3,3,Salvia columbariae,0,250,15,35,19,0,13,0.135,0,46.1
184,3,4,Salvia columbariae,0,250,5,30,14,0,13.4,0.2122,0,43.6
185,3,5,Salvia columbariae,0,250,5,25,20,0,15.2,0.079,0,42.4
186,3,6,Salvia columbariae,0,250,10,40,28,0,17.3,0.2001,0,46.4
187,3,7,Salvia columbariae,0,250,0,0,0,0,0,0,0,48.8
188,3,8,Salvia columbariae,0,250,10,40,25,0,19.5,0.1781,0,51.2
189,3,9,Salvia columbariae,0,250,0,0,0,0,0,0,0,45.8
190,3,10,Salvia columbariae,0,250,0,0,0,0,0,0,0,48.4
191,3,1,Salvia columbariae,0,330,0,0,0,0,0,0,0,46.3
192,3,2,Salvia columbariae,0,330,15,60,29,0,12.7,0.2943,0,47.7
193,3,3,Salvia columbariae,0,330,10,35,16,0,8.4,0.0345,0,53.8
194,3,4,Salvia columbariae,0,330,2,30,10,0,11,0.0397,0,55.8
195,3,5,Salvia columbariae,0,330,15,80,32,0,14.9,0.2517,0,27.4
196,3,6,Salvia columbariae,0,330,40,75,50,0,12.6,0.1694,0,56.8
197,3,7,Salvia columbariae,0,330,0,0,0,0,0,0,0,44.8
198,3,8,Salvia columbariae,0,330,50,80,64,0,18.9,0.3816,0,34.2
199,3,9,Salvia columbariae,0,330,0,2,4,0,3.3,0.01,0,48
200,3,10,Salvia columbariae,0,330,20,50,40,0,20,0.2808,0,53.3
201,3,1,Phacelia tancetifolia,10,80,55,50,310,20.4,26,0.2706,0.1074,13.8
202,3,2,Phacelia tancetifolia,10,80,15,20,50,23.5,9.9,0.0108,0.3121,6.9
203,3,3,Phacelia tancetifolia,10,80,40,60,350,20.7,26,0.355,0.163,12
204,3,4,Phacelia tancetifolia,10,80,65,75,580,24.1,29.6,0.669,0.1418,10.6
205,3,5,Phacelia tancetifolia,10,80,40,70,400,21.6,21.2,0.4991,0.2582,13.5
206,3,6,Phacelia tancetifolia,10,80,65,85,480,19.5,16.1,0.4901,0.1002,13.1
207,3,7,Phacelia tancetifolia,10,80,10,15,70,15.9,16.3,0.0904,0.04,12
208,3,8,Phacelia tancetifolia,10,80,50,80,480,26.3,19.7,0.5138,0.403,9.6
209,3,9,Phacelia tancetifolia,10,80,40,70,380,21.4,14.1,0.5313,0.1566,12
210,3,10,Phacelia tancetifolia,10,80,60,85,470,22.4,31.8,0.4614,0.246,12.2
211,3,1,Phacelia tancetifolia,10,150,80,85,520,17.9,19.6,0.5465,0.0564,10.1
212,3,2,Phacelia tancetifolia,10,150,55,50,320,20.2,22.1,0.1953,0.0994,8.6
213,3,3,Phacelia tancetifolia,10,150,85,70,220,21.6,23.6,0.4873,0.0724,6.7
214,3,4,Phacelia tancetifolia,10,150,70,80,440,15.2,22.5,0.4475,0.031,12.6
215,3,5,Phacelia tancetifolia,10,150,15,75,200,35.8,15.5,0.0564,0.5774,8.6
216,3,6,Phacelia tancetifolia,10,150,25,50,160,24.6,22.7,0.1421,0.3463,15.8
217,3,7,Phacelia tancetifolia,10,150,65,40,500,20.7,35.7,0.4017,0.0529,15.7
218,3,8,Phacelia tancetifolia,10,150,70,75,470,24.5,39.5,0.545,0.2183,15.3
219,3,9,Phacelia tancetifolia,10,150,85,75,350,27.9,28.6,0.536,0.366,11.7
220,3,10,Phacelia tancetifolia,10,150,60,50,360,22.2,25.4,0.5716,0.1237,16.1
221,3,1,Phacelia tancetifolia,10,200,70,85,230,25.9,32.3,0.4528,0.2599,15
222,3,2,Phacelia tancetifolia,10,200,65,80,660,26.2,28.2,0.6201,0.436,16
223,3,3,Phacelia tancetifolia,10,200,65,90,350,27.5,36.6,0.4312,0.3656,15.9
224,3,4,Phacelia tancetifolia,10,200,70,70,260,22.6,22,0.536,0.1562,18.2
225,3,5,Phacelia tancetifolia,10,200,80,100,520,29.6,29.4,1.5401,0.436,16.9
226,3,6,Phacelia tancetifolia,10,200,95,100,760,22.9,28.8,1.596,0.1716,16.7
227,3,7,Phacelia tancetifolia,10,200,55,60,540,21.6,24.2,0.5992,0.1276,19.3
228,3,8,Phacelia tancetifolia,10,200,80,90,400,22.1,22.7,0.5963,0.1891,20.2
229,3,9,Phacelia tancetifolia,10,200,65,80,320,21.5,13.1,0.3243,0.0932,19.1
230,3,10,Phacelia tancetifolia,10,200,80,95,510,26.4,32.5,0.7596,0.2775,20
231,3,1,Phacelia tancetifolia,10,250,90,95,650,21.7,25.5,0.905,0.0742,19.6
232,3,2,Phacelia tancetifolia,10,250,65,100,620,26.2,23.5,1.0153,0.4875,20
233,3,3,Phacelia tancetifolia,10,250,70,100,600,22.1,33.5,0.9588,0.1741,20.8
234,3,4,Phacelia tancetifolia,10,250,90,100,630,20.3,31.9,0.572,0.1291,18
235,3,5,Phacelia tancetifolia,10,250,90,100,550,20.4,27,0.4441,0.209,16.9
236,3,6,Phacelia tancetifolia,10,250,80,40,380,25,38.5,0.4212,0.1051,18.4
237,3,7,Phacelia tancetifolia,10,250,65,65,470,22.7,24.8,0.4467,0.4011,35.5
238,3,8,Phacelia tancetifolia,10,250,70,100,500,18.6,27.3,0.8506,0.0932,21.6
239,3,9,Phacelia tancetifolia,10,250,80,95,400,30.7,25.1,0.767,0.3892,17.9
240,3,10,Phacelia tancetifolia,10,250,95,100,500,30.4,30.2,1.1136,0.7838,20.4
241,3,1,Phacelia tancetifolia,10,330,90,100,710,20.2,23.6,0.7159,0.0688,16.8
242,3,2,Phacelia tancetifolia,10,330,85,50,600,19.2,41.5,0.7221,0.1644,29
243,3,3,Phacelia tancetifolia,10,330,85,90,600,20.5,31.5,0.8612,0.1282,16.8
244,3,4,Phacelia tancetifolia,10,330,75,95,530,21.9,18.8,0.797,0.0575,25
245,3,5,Phacelia tancetifolia,10,330,80,100,620,22.2,26.3,0.7025,0.0784,25.8
246,3,6,Phacelia tancetifolia,10,330,100,100,610,23,28.4,1.0056,0.5417,20.1
247,3,7,Phacelia tancetifolia,10,330,95,95,700,22.4,33.6,0.655,0.179,18.1
248,3,8,Phacelia tancetifolia,10,330,85,100,500,25.4,34.5,0.4273,0.1888,28.5
249,3,9,Phacelia tancetifolia,10,330,95,100,610,23.6,30.6,1.0949,0.2242,22.3
250,3,10,Phacelia tancetifolia,10,330,90,100,690,23.4,30.5,0.9428,0.1605,20.7
251,3,1,Phacelia tancetifolia,0,80,65,70,330,0,24,0.5647,0,7.9
252,3,2,Phacelia tancetifolia,0,80,60,85,550,0,15.4,0.2737,0,11.9
253,3,3,Phacelia tancetifolia,0,80,55,75,360,0,16.2,0.2356,0,14.3
254,3,4,Phacelia tancetifolia,0,80,40,65,350,0,18.5,0.9417,0,10.9
255,3,5,Phacelia tancetifolia,0,80,55,75,380,0,22.8,0.5818,0,10.6
256,3,6,Phacelia tancetifolia,0,80,60,90,400,0,19.4,0.672,0,10.4
257,3,7,Phacelia tancetifolia,0,80,55,60,360,0,18.9,0.502,0,8.9
258,3,8,Phacelia tancetifolia,0,80,70,70,450,0,31.2,0.5411,0,13.4
259,3,9,Phacelia tancetifolia,0,80,60,40,260,0,36.5,0.967,0,11.5
260,3,10,Phacelia tancetifolia,0,80,70,100,710,0,19.8,0.8015,0,13
261,3,1,Phacelia tancetifolia,0,150,10,40,650,0,29.3,0.2815,0,15
262,3,2,Phacelia tancetifolia,0,150,80,70,450,0,20.2,0.4283,0,10
263,3,3,Phacelia tancetifolia,0,150,65,40,80,0,15,0.1587,0,9.6
264,3,4,Phacelia tancetifolia,0,150,70,85,480,0,25.2,0.72,0,9.7
265,3,5,Phacelia tancetifolia,0,150,65,95,640,0,21.4,0.6582,0,16.9
266,3,6,Phacelia tancetifolia,0,150,60,75,320,0,30.4,0.5446,0,11.7
267,3,7,Phacelia tancetifolia,0,150,75,85,590,0,28,0.7329,0,7.8
268,3,8,Phacelia tancetifolia,0,150,50,65,530,0,24.7,0.4814,0,16.3
269,3,9,Phacelia tancetifolia,0,150,25,55,380,0,25,0.7794,0,16.5
270,3,10,Phacelia tancetifolia,0,150,50,95,550,0,18.6,0.6657,0,16.7
271,3,1,Phacelia tancetifolia,0,200,40,70,430,0,28.2,1.6929,0,17.3
272,3,2,Phacelia tancetifolia,0,200,75,85,600,0,58.1,1.0313,0,18.3
273,3,3,Phacelia tancetifolia,0,200,75,85,680,0,33.9,0.945,0,18.7
274,3,4,Phacelia tancetifolia,0,200,70,40,100,0,14.1,0.3556,0,21.5
275,3,5,Phacelia tancetifolia,0,200,70,85,700,0,29.7,0.412,0,28.4
276,3,6,Phacelia tancetifolia,0,200,85,100,680,0,19.2,0.8163,0,19.5
277,3,7,Phacelia tancetifolia,0,200,85,95,350,0,24.5,0.6618,0,18.4
278,3,8,Phacelia tancetifolia,0,200,80,95,680,0,35.5,0.8045,0,24.5
279,3,9,Phacelia tancetifolia,0,200,75,75,300,0,14.3,0.26,0,20.1
280,3,10,Phacelia tancetifolia,0,200,80,90,600,0,29.4,0.9615,0,16
281,3,1,Phacelia tancetifolia,0,250,95,100,780,0,30.8,0.7541,0,25.6
282,3,2,Phacelia tancetifolia,0,250,85,100,550,0,33.2,0.6151,0,22.3
283,3,3,Phacelia tancetifolia,0,250,95,100,950,0,25.6,0.9273,0,18.3
284,3,4,Phacelia tancetifolia,0,250,100,100,680,0,25.9,0.8262,0,25.5
285,3,5,Phacelia tancetifolia,0,250,90,100,520,0,25.6,0.6274,0,26.5
286,3,6,Phacelia tancetifolia,0,250,70,95,480,0,20.1,0.7126,0,25
287,3,7,Phacelia tancetifolia,0,250,85,90,570,0,28.5,0.6419,0,17.8
288,3,8,Phacelia tancetifolia,0,250,65,100,660,0,22.9,0.7474,0,17
289,3,9,Phacelia tancetifolia,0,250,65,90,450,0,22,0.7995,0,20.7
290,3,10,Phacelia tancetifolia,0,250,70,75,300,0,18.6,0.498,0,21.5
291,3,1,Phacelia tancetifolia,0,330,100,100,880,0,41.6,1.3407,0,25
292,3,2,Phacelia tancetifolia,0,330,90,100,700,0,36.5,0.9166,0,19.5
293,3,3,Phacelia tancetifolia,0,330,90,100,750,0,36.6,1.4771,0,20.1
294,3,4,Phacelia tancetifolia,0,330,100,100,920,0,32.4,1.2668,0,20
295,3,5,Phacelia tancetifolia,0,330,95,100,710,0,35.2,1.0728,0,44.5
296,3,6,Phacelia tancetifolia,0,330,55,70,580,0,39.5,0.4752,0,25.2
297,3,7,Phacelia tancetifolia,0,330,95,100,700,0,29,1.208,0,29.2
298,3,8,Phacelia tancetifolia,0,330,100,100,500,0,23.7,1.0221,0,17
299,3,9,Phacelia tancetifolia,0,330,95,100,1210,0,28.7,1.4028,0,45.1
300,3,10,Phacelia tancetifolia,0,330,70,50,600,0,41.1,0.9819,0,40.5